id,lat,lng,status,summary,rating,description,created_at,updated_at,acknowledged_at,closed_at
1553047,41.3264793425403,-72.9596099629998,Open,Bus shelter plastic wrap?,Bus shelter outside 864 Whalley (Dunkin Donuts) has a blue plastic sleeve inside a window that looks like it was designed for a bus schedule and/or map. Please remove the plastic and install a bus map and schedule. This is an extremely well-used bus stop and a map and schedule would be very welcome and encourage ridership. The blue plastic that's there now looks horrible.,4,2015-03-25T21:46:59-04:00,2015-03-26T09:16:31-04:00,,None
1553040,41.3260432604838,-72.9598339274526,Acknowledged,Graffiti on traffic signal box,"Box is on southwest corner of Fountain and Central, outside of Pellegrino & Pellegrino law firm. LCI or TT&P, please remove or paint over.",5,2015-03-25T21:39:31-04:00,2015-03-25T22:42:40-04:00,2015-03-25T22:28:13-04:00,None
1553037,41.3263521942052,-72.9598154872656,Acknowledged,No Turn On Red sign knocked down,"No turn on red sign on the east side of Central Ave, back side of Dunkin Donuts, has been knocked down and needs to be reset.",5,2015-03-25T21:35:15-04:00,2015-03-26T09:46:54-04:00,2015-03-25T22:23:44-04:00,None
1553033,41.311006594,-72.935831527,Acknowledged,#seeclickfix #graffiti,https://instagram.com/p/0rCcf1ylK- #instagram,5,2015-03-25T21:30:07-04:00,2015-03-27T10:51:16-04:00,2015-03-26T10:25:24-04:00,None
1552784,41.331627,-72.977974,Open,Light is broken,Light goes of and on,2,2015-03-25T18:03:53-04:00,2015-03-25T18:56:04-04:00,,None
1552763,41.3026767391783,-72.9243994251288,Acknowledged,"Public Space, Streets and Drains",The storm drain and curb look crushed and are sinking.,5,2015-03-25T17:43:51-04:00,2015-03-26T10:26:07-04:00,2015-03-25T17:52:19-04:00,None
1552687,41.307181,-72.9131589,Acknowledged,Potholes,Everyone's car is bottoming out when pulling out of a parking lot on Hamiton and destroying the front end when pulling in. ,4,2015-03-25T16:41:40-04:00,2015-03-25T17:52:00-04:00,2015-03-25T17:52:00-04:00,None
1552300,41.3130027980229,-72.9330468750483,Acknowledged,Potholes,Multiple potholes in right lane right after light. Traffic comes to a stop to navigate causing congestion. ,3,2015-03-25T13:58:08-04:00,2015-03-25T17:51:37-04:00,2015-03-25T17:51:37-04:00,None
1552297,41.3137158647638,-72.9301248550983,Acknowledged,Potholes,There are over 14 potholes in this short street. Three are huge closer to Tower pkwy gym entrance. ,2,2015-03-25T13:55:50-04:00,2015-03-25T17:51:21-04:00,2015-03-25T17:51:21-04:00,None
1552289,41.3060093,-72.9296141,Closed,(EONP) Crown St.,"There will be an Emergency Order No Parking ban on Thursday, March 26th on the even side of 74 Crown St, for meter #: 04201 to 04203 due to the U.I. installing cable.",2,2015-03-25T13:53:11-04:00,2015-03-26T13:28:01-04:00,2015-03-25T13:57:42-04:00,2015-03-26T13:28:01-04:00
1552288,41.3156775463765,-72.9391012669641,Acknowledged,Potholes,Multiple potholes by Subway causing traffic congestion at light. ,3,2015-03-25T13:52:44-04:00,2015-03-25T17:50:53-04:00,2015-03-25T17:50:53-04:00,None
1552219,41.313464,-72.9379699,Closed,(EONP) Elm St.,"There will be an Emergency Order No Parking ban on Thursday, March 26th on the odd side of Elm St, from Howe St to Park St, meter numbers 12902-12912 due to tree work.",2,2015-03-25T13:26:34-04:00,2015-03-27T14:38:54-04:00,2015-03-25T13:55:09-04:00,2015-03-27T14:38:54-04:00
1552205,41.3072866,-72.9286877,Closed,(EONP) College St.,"There will be an Emergency Order No Parking ban on Thursday, March 26th on the even side of 250 College St, from meter numbers 15409 to 15413 due to utility work for U.I.",2,2015-03-25T13:21:10-04:00,2015-03-27T09:40:46-04:00,2015-03-25T13:59:53-04:00,2015-03-27T09:40:46-04:00
1552166,41.3086852,-72.9325642,Acknowledged,(EONP) Chapel St.,"There will be an Emergency Order No Parking ban on Thursday, March 26th on the even side of 770 Chapel St, from meter numbers 08305 through 08311 due to vault work for U.I.",2,2015-03-25T13:06:42-04:00,2015-03-25T14:02:35-04:00,2015-03-25T14:02:35-04:00,None
1552128,41.3150363,-72.9170602,Closed,(EONP) Orange St. ,"There will be an Emergency Order No Parking ban on Thursday, March 26th on the odd side of 7 Orange St, from meter numbers 05218 through 05202 due to utility work for U.I.",2,2015-03-25T12:53:55-04:00,2015-03-27T10:00:25-04:00,2015-03-25T14:03:41-04:00,2015-03-27T10:00:25-04:00
1552062,41.313464,-72.9379699,Closed,(EONP) Elm St.,"There will be an Emergency Order No Parking ban on Thursday, March 26th on the odd side of 7 Elm St, from meter numbers 12102 through 12110 due to utility work for U.I.",2,2015-03-25T12:25:14-04:00,2015-03-27T09:48:26-04:00,2015-03-25T14:04:33-04:00,2015-03-27T09:48:26-04:00
1551994,41.305816,-72.891262,Open,Potholes,Fairmont/Townsend between Ferry St. and US 1 is more hole than pavement.,3,2015-03-25T11:43:40-04:00,2015-03-26T06:32:24-04:00,,None
1551929,41.2981777081062,-72.8885821,Open,Private Property Issue,,1,2015-03-25T11:11:35-04:00,2015-03-25T11:11:35-04:00,,None
1551888,41.324634,-72.96568,Acknowledged,Damaged Driveway Apron ,Resident reports a damaged driveway apron in front of this location. Inspection is requested. Please send someone to this location to view the apron. ,4,2015-03-25T10:54:55-04:00,2015-03-26T14:24:11-04:00,2015-03-25T17:49:24-04:00,None
1551785,41.3264895,-72.9273766,Acknowledged,Potholes,The road is horrific starting at the corner of Winchester and Thompson st ....continuing down Thompson st to Newhall St.,2,2015-03-25T10:13:17-04:00,2015-03-25T17:48:51-04:00,2015-03-25T17:48:51-04:00,None
1551760,41.3322571,-72.9837049,Acknowledged,Potholes,Numerous deep pot holes the entire length of Seneca Road as well as the intersection of Seneca and Fowler Street.,2,2015-03-25T09:54:55-04:00,2015-03-25T17:48:30-04:00,2015-03-25T17:48:30-04:00,None
1551718,41.2967237,-72.8939387,Acknowledged,Loose Manhole Cover ,Resident reports a loose manhole cover at this location. Please send someone to secure it as soon as possible.,3,2015-03-25T09:34:15-04:00,2015-03-25T17:47:58-04:00,2015-03-25T17:47:57-04:00,None
1551642,41.30702,-72.923557,Closed,TEST,TEST,2,2015-03-25T09:03:13-04:00,2015-03-25T09:20:11-04:00,2015-03-25T09:04:07-04:00,2015-03-25T09:20:11-04:00
1551564,41.3231567,-72.9717545,Acknowledged,Potholes,There are multiple deep potholes along Knollwood Drive between Laurel Road and Mumford Road. In serious need of patching.,3,2015-03-25T08:10:10-04:00,2015-03-25T09:09:47-04:00,2015-03-25T08:12:14-04:00,None
1551520,41.30496892,-72.92281932,Closed,If ice cream could talk...,https://instagram.com/p/dFssW2K6oL #instagram,2,2015-03-25T07:10:06-04:00,2015-03-25T07:11:42-04:00,,2015-03-25T07:11:42-04:00
